year,tier,artipref,bookpref,tier2
1998,1,.018505566,.0042908951,Tier 1
1998,2,.0016212441,.00052284531,Tier 2
1999,1,.029294997,.0024351855,Tier 1
1999,2,.0019236869,.00047651981,Tier 2
2000,1,.04001813,.004590102,Tier 1
2000,2,.0024406109,.00084346056,Tier 2
2001,1,.035260841,.0060587898,Tier 1
2001,2,.0022647525,.00099520362,Tier 2
2002,1,.039954815,.0093846079,Tier 1
2002,2,.0038963251,.00075167516,Tier 2
2003,1,.036918782,.010404035,Tier 1
2003,2,.0050019291,.0015565547,Tier 2
2004,1,.051082954,.0099763656,Tier 1
2004,2,.0076223421,.0021501894,Tier 2
2005,1,.060362544,.014020852,Tier 1
2005,2,.0091099665,.0021053788,Tier 2
2006,1,.05508557,.012174664,Tier 1
2006,2,.01092989,.0020350008,Tier 2
2007,1,.068651415,.013808435,Tier 1
2007,2,.011205499,.0026430306,Tier 2
2008,1,.066604227,.014661254,Tier 1
2008,2,.012474314,.0027451201,Tier 2
2009,1,.08080712,.016388211,Tier 1
2009,2,.011332046,.0018855138,Tier 2
2010,1,.10288798,.02098727,Tier 1
2010,2,.01000669,.0026533587,Tier 2
2011,1,.099040881,.021053514,Tier 1
2011,2,.013032431,.0038981366,Tier 2
2012,1,.095365465,.021416342,Tier 1
2012,2,.015733881,.0048659034,Tier 2
2013,1,.10102639,.021108344,Tier 1
2013,2,.016658358,.0042660311,Tier 2
