period2,period,tier,capr_puntaje_comu,capr_puntaje_ingl,capr_puntaje_razo,capr_puntaje_lect,capr_puntaje_comp,pctile_complect,pctile_ingles,pctile_comu,pctile_comp,pctile_razona,estandcapr_puntaje_lect,estandcapr_puntaje_ingl,estandcapr_puntaje_comu,estandcapr_puntaje_razo,estandcapr_puntaje_comp,anno,semestre,mod_comunica_escrita_punt,mod_comunica_escrita_desem,mod_ingles_punt,mod_lectura_critica,mod_razona,pctile_escri,pctile_criti,estandmod_comunica_escrita_punt,estandmod_comunica_escrita_desem,estandmod_ingles_punt,estandmod_lectura_critica,estandmod_razona,comp_compren_lectora_punt,comp_ingles_punt,comp_comunica_escri_punt,comp_enten_interper_punt,comp_pensa_criti_punt,pctile_interper,estandcomp_compren_lectora_punt,estandcomp_ingles_punt,estandcomp_comunica_escri_punt,estandcomp_enten_interper_punt,estandcomp_pensa_criti_punt,mod_comp_lect_punt,estandmod_comp_lect_punt,complect,ingles,comescri,penscrit,enteninterper,tier2
2014,2014h1,1,10.402774,12.596557,11.036226,10.830579,10.628099,71.347107,85.126724,68.040222,68.107437,71.230026,.80711317,1.6445594,.63828558,.94805896,.70387793,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.6445594,,.63828558,,,Tier 1
2014,2014h1,2,9.6726961,10.140853,10.013279,9.9499903,9.889328,46.295502,45.60606,47.651585,46.739681,46.103489,-.054691445,-.11166761,-.043195415,-.064230196,-.047713857,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,-.11166761,,-.043195415,,,Tier 2
2013,2013h1,1,,,,,,60.389084,77.635902,,,70.288826,,,,,,2013,1,10.4832073070301,4.8558807,11.995733,10.80294600238645,10.92529464418931,50.3512,69.547585,.42827803,.41717359,1.2581965,.71613014,.81053221,,,,,,,,,,,,,,.71613014,1.2581965,.42827803,,,Tier 1
2013,2013h1,2,,,,,,47.072556,45.579453,,,47.023457,,,,,,2013,1,10.00668595024644,4.3199224,10.14467,10.01836443631125,9.999164491564299,37.247967,46.859222,-.03866072,-.0376583,-.11363264,-.064595565,-.073096864,,,,,,,,,,,,,,-.064595565,-.11363264,-.03866072,,,Tier 2
2012.5,2012h2,1,,,,,,62.35778,78.30233,,,68.614441,,,,,,2012,2,10.81705856323242,,11.981863,10.67338466644287,10.67378330230713,53.985252,69.276283,.45058572,,1.245859,.71508324,.76596379,,,,,,,,,,,,,,.71508324,1.245859,.45058572,,,Tier 1
2012.5,2012h2,2,,,,,,48.297359,45.782143,,,46.387844,,,,,,2012,2,10.18294048309326,,10.178214,9.920177459716797,9.905093193054199,39.944077,46.70108,-.038217336,,-.10975071,-.06297148,-.067489065,,,,,,,,,,,,,,-.06297148,-.10975071,-.038217336,,,Tier 2
2012,2012h1,1,,,,,,61.748615,,,,68.462212,,,,,,2012,1,10.64183044433594,,11.864103,10.75430011749268,10.88522148132324,78.796806,68.592369,.43777761,,1.2228513,.71942008,.75984812,,,,,,,,,,,,,,.71942008,1.2228513,.43777761,,,Tier 1
2012,2012h1,2,,,,,,47.815842,,,,46.078304,,,,,,2012,1,10.1597900390625,,10.152752,9.947957038879395,9.975895881652832,45.361477,45.817982,-.044266742,,-.12308416,-.072252147,-.076308861,,,,,,,,,,,,,,-.072252147,-.12308416,-.044266742,,,Tier 2
2011.5,2011h2,1,,,,,,66.486168,55.397072,,,72.580414,,,,,,2011,2,10.61221122741699,4.997376,11.780688,10.94584083557129,10.9384880065918,81.432137,75.193146,.62669933,.61370587,1.4833277,.94690424,.94318122,,,,,,,,,,,,,,.94690424,1.4833277,.62669933,,,Tier 1
2011.5,2011h2,2,,,,,,47.967472,36.476128,,,46.80365,,,,,,2011,2,9.943507194519043,4.2522302,9.9889755,9.937185287475586,9.942161560058594,45.860966,46.827408,-.040552195,-.039711416,-.095146134,-.060684901,-.0604463,,,,,,,,,,,,,,-.060684901,-.095146134,-.040552195,,,Tier 2
2011,2011h1,1,,,,,,62.673416,76.12011,,,,,,,,,2011,1,,,,,,57.842087,62.741684,,,,,,10.324763,11.392372,-162.15562,-157.54997,-156.71626,61.230499,.61169541,1.1044238,-.0075515513,-.016381623,-.017270409,,,.61169541,1.1044238,-.0075515513,-156.71626,-157.54997,Tier 1
2011,2011h1,2,,,,,,43.064121,46.280434,,,,,,,,,2011,1,,,,,,45.354416,45.717091,,,,,,9.7298946,10.057828,-158.8331,-150.48476,-149.28986,45.758015,-.05892368,-.10614986,.00072749413,.0015719295,.0016568789,,,-.05892368,-.10614986,.00072749413,-149.28986,-150.48476,Tier 2
2010.5,2010h2,1,,,,,,62.057823,80.405266,,,,,,,,,2010,2,,,,,,38.812294,41.605881,,,,,,10.589017,11.650534,-609.61383,-578.78174,-578.67786,41.245296,.56213647,1.4071449,.0073158327,.0063966215,.0066036899,,,.56213647,1.4071449,.0073158327,-578.67786,-578.78174,Tier 1
2010.5,2010h2,2,,,,,,44.336857,46.511452,,,,,,,,,2010,2,,,,,,34.764629,35.75687,,,,,,10.020146,9.9968328,-613.99121,-582.62445,-582.64514,35.720169,-.041342456,-.10333047,-.00054345507,-.00046981717,-.00048511542,,,-.041342456,-.10333047,-.00054345507,-582.64514,-582.62445,Tier 2
2010.5,2010h2,1,,,,,,56.036781,74.961884,,,,,,,,,2010,2,,,,,,37.597862,38.220188,,,,,,10.191829,11.342783,-639.30225,-634.82751,-634.79724,37.790634,.38955578,1.1150703,.17481123,.18137898,.1814322,,,.38955578,1.1150703,.17481123,-634.79724,-634.82751,Tier 1
2010.5,2010h2,2,,,,,,43.571293,46.220413,,,,,,,,,2010,2,,,,,,28.021231,27.826797,,,,,,9.850153,10.087054,-739.7088,-739.11249,-739.11328,27.716263,-.03250318,-.093189411,-.014517152,-.015154053,-.015158504,,,-.03250318,-.093189411,-.014517152,-739.11328,-739.11249,Tier 2
2009.5,2009h2,1,,,,,,56.681789,76.228363,,,,,,,,,2009,2,,,,,,26.788593,28.211475,,,,,,10.289911,11.437306,-785.97363,-782.77905,-772.5769,26.976465,.42093071,1.1564112,.080340244,.078527443,.065919161,,,.42093071,1.1564112,.080340244,-772.5769,-782.77905,Tier 1
2009.5,2009h2,2,,,,,,43.387623,45.961716,,,,,,,,,2009,2,,,,,,22.564779,23.830645,,,,,,9.9186087,10.031451,-828.67847,-824.70325,-808.37238,22.703711,-.037004169,-.10170851,-.0070690266,-.0069043483,-.0057957964,,,-.037004169,-.10170851,-.0070690266,-808.37238,-824.70325,Tier 2
2008.5,2008h2,1,,,,,,58.363503,78.199333,,,,,,,,,2008,2,,,11.129007,,,,,,,1.2013928,,,,,,,,,,,,,,10.485219,.34316316,.34316316,1.2013928,,,,Tier 1
2008.5,2008h2,2,,,,,,47.551895,44.488438,,,,,,,,,2008,2,,,9.7973509,,,,,,,-.15115885,,,,,,,,,,,,,,10.073695,-.043193549,-.043193549,-.15115885,,,,Tier 2
2008,2008h1,1,,,,,,54.253719,73.462288,,,,,,,,,2008,1,,,11.200108,,,,,,,.99415338,,,,,,,,,,,,,,10.426603,.35992604,.35992604,.99415338,,,,Tier 1
2008,2008h1,2,,,,,,42.93919,46.130451,,,,,,,,,2008,1,,,9.9949865,,,,,,,-.10806497,,,,,,,,,,,,,,10.123874,-.039065316,-.039065316,-.10806497,,,,Tier 2
2007.5,2007h2,1,,,,,,55.587234,78.908958,,,,,,,,,2007,2,,,11.26914,,,,,,,1.2326875,,,,,,,,,,,,,,10.437467,.39565292,.39565292,1.2326875,,,,Tier 1
2007.5,2007h2,2,,,,,,42.571465,44.494095,,,,,,,,,2007,2,,,10.063395,,,,,,,-.14993255,,,,,,,,,,,,,,10.003898,-.048132624,-.048132624,-.14993255,,,,Tier 2
2007,2007h1,1,,,,,,54.049614,72.637932,,,,,,,,,2007,1,,,10.912651,,,,,,,.9876948,,,,,,,,,,,,,,10.369369,.34979087,.34979087,.9876948,,,,Tier 1
2007,2007h1,2,,,,,,42.617779,45.22118,,,,,,,,,2007,1,,,10.014232,,,,,,,-.10340991,,,,,,,,,,,,,,9.9750633,-.036639962,-.036639962,-.10340991,,,,Tier 2
2006.5,2006h2,1,,,,,,63.505249,69.815773,,,,,,,,,2006,2,,,10.982852,,,,,,,.93569529,,,,,,,,,,,,,,10.466158,.63667089,.63667089,.93569529,,,,Tier 1
2006.5,2006h2,2,,,,,,43.028614,42.029362,,,,,,,,,2006,2,,,9.8795109,,,,,,,-.11026394,,,,,,,,,,,,,,9.7305412,-.074144587,-.074144587,-.11026394,,,,Tier 2
2006,2006h1,1,,,,,,61.430969,62.53672,,,,,,,,,2006,1,,,10.795133,,,,,,,.5880692,,,,,,,,,,,,,,10.343097,.56128585,.56128585,.5880692,,,,Tier 1
2006,2006h1,2,,,,,,43.961151,44.178886,,,,,,,,,2006,1,,,10.284946,,,,,,,-.055035491,,,,,,,,,,,,,,9.8074293,-.052274365,-.052274365,-.055035491,,,,Tier 2
