year,varBRA,varCHI,varCOL,varFRA,varITA,varSPA,varUSA
2000,65.420982,72.440437,63.98711,14.50953,6.3667698,12.28762,26.346371
2001,67.361031,,62.331989,15.2506,7.0789199,13.18017,25.96389
2002,68.258751,72.493958,58.180641,15.8709,6.6032801,13.57685,23.1971
2003,69.321388,74.234627,,16.092119,6.5151601,13.59187,23.234921
2004,70.313728,75.289032,55.043892,16.35828,6.3912501,13.59115,23.92485
2005,71.800522,,49.99992,16.413679,6.3956399,13.32029,24.84901
2006,,76.10891,48.69997,16.572001,7.2348099,13.42045,25.53623
2007,72.909286,76.589661,44.901051,17.082781,7.7140899,13.78888,25.78282
2008,71.866798,77.985817,44.675991,18.114031,6.9499998,14.08716,26.070339
2009,73.863083,79.705856,43.769699,18.82542,7.6428399,11.70619,26.858141
2010,72.710381,81.922523,44.61993,19.68819,8.5170698,14.83289,27.497299
2011,72.110107,83.707062,45.152489,20.072651,9.5934095,14.74743,27.94672
2012,71.422653,84.395317,46.590858,20.47345,9.4411497,15.24705,28.02651
2013,,84.380379,47.55275,20.79063,9.0936403,16.288971,27.83729
