period,quality0,theta_mean0,profs_stu0,sd0,sd_l0,sd_h0,quality1,theta_mean1,profs_stu1,sd1,sd_l1,sd_h1,theta_dif,prof_dif,qual_dif,sd_h_dif,sd_l_dif,qual_dif2,qual_dif1,sd_h_dif1,sd_l_dif1
2007,3.279505,8.7413187,.10190174,.29486126,2.9846437,3.5743663,2.5558259,7.2592511,.087710276,.36752665,2.1882992,2.9233527,1.4820676,.014191464,.72367907,1.0185404,.42881775,1.2831488,0,.36752677,-.36752677
2007.5,3.2846737,8.7150059,.10934985,.39277864,2.8918951,3.6774523,2.4759343,7.0664854,.0855655,.36551669,2.1104176,2.8414509,1.6485205,.023784347,.80873942,1.2015181,.41596079,1.3266401,0,.36551666,-.36551666
2008,3.3563929,8.8496161,.11523247,.27060351,3.0857894,3.6269963,2.6004341,7.3702431,.083532125,.38072532,2.2197087,2.9811594,1.479373,.031700343,.7559588,1.0265622,.48535538,1.2907048,0,.38072538,-.38072538
2008.5,3.3427901,8.799202,.11702893,.40156025,2.9412298,3.7443504,2.4756713,7.0528431,.094062977,.36640143,2.1092699,2.8420727,1.7463589,.022965953,.86711884,1.2686791,.46555853,1.3502561,0,.36640143,-.36640143
2009,3.4189377,8.9708681,.11254514,.22992629,3.1890113,3.648864,2.5876114,7.304183,.080656275,.39367452,2.1939368,2.981286,1.6666851,.031888865,.83132625,1.0612526,.6013999,1.3212717,0,.39367461,-.39367461
2009.5,3.3867259,8.8503361,.130536,.36517966,3.0215464,3.7519054,2.4647977,7.0502667,.084712349,.3561697,2.108628,2.8209674,1.8000693,.045823656,.92192817,1.2871077,.55674863,1.3740381,0,.3561697,-.3561697
2010,3.3512597,8.8233175,.12428351,.2244067,3.126853,3.5756664,2.552954,7.2340207,.095700987,.36105508,2.1918988,2.9140091,1.5892968,.028582521,.79830575,1.0227125,.57389903,1.3126988,0,.36105514,-.36105514
2010.5,3.4183474,8.8956308,.13632937,.34191069,3.0764368,3.760258,2.5030305,7.105669,.093628988,.37557429,2.1274562,2.8786049,1.7899618,.04270038,.91531682,1.2572274,.57340622,1.3656834,0,.37557435,-.37557435
2011,3.477036,9.0157537,.13352007,.25975367,3.2172823,3.7367897,2.6125917,7.386045,.088385716,.38138884,2.2312028,2.9939806,1.6297088,.045134351,.86444426,1.124198,.60469055,1.3308761,0,.3813889,-.3813889
2011.5,3.4875302,9.019578,.13027652,.4020929,3.0854373,3.8896232,2.5417001,7.2519612,.090163469,.38820052,2.1534996,2.9299006,1.7676167,.040113047,.94583011,1.347923,.54373717,1.372125,0,.38820052,-.38820052
2012,3.6087232,9.2318249,.13427603,.28795099,3.3207722,3.8966742,2.7436676,7.6535826,.097600646,.39833105,2.3453364,3.1419988,1.5782423,.036675386,.86505556,1.1530066,.57710457,1.3152916,0,.39833117,-.39833117
2012.5,3.5824745,9.1315651,.14594705,.45908782,3.1233866,4.0415621,2.5962331,7.3226128,.093377948,.45025328,2.1459799,3.0464864,1.8089523,.052569106,.98624134,1.445329,.52715349,1.379874,0,.45025325,-.45025325
