year,tier,adm_,der_,ing_,med_,min_adm,min_der,min_ing,min_med,tier2
2004,1,1.000000009827156,1.000000029906872,.9999999773897972,1,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2006,1,1.038914218995437,1.051274409373915,1.067389635217049,1.344930362759049,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2009,1,1.322693299148523,1.251130802794111,1.322290280815567,1.554176151402109,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2011,1,1.276208648380984,1.22587536649518,1.270040193188244,1.437505687056802,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2012,1,1.28928630926016,1.30546219608503,1.276134144010734,1.496517502415208,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2013,1,1.253990283149832,1.312079564837376,1.277522813494402,1.561312159269645,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2014,1,1.394701815246427,1.474692079574695,1.481737135591247,1.739037591054756,3634244.3,3582549.8,3685651.8,5088810,Tier 1
2004,2,1.00000005104723,1.000000024458996,1,1,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2006,2,1.087260876742222,1.054230857799797,1.119019377169859,1.147998190927809,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2009,2,1.215288922270695,.8985031315730226,1.16814297458676,1.221783629152933,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2011,2,1.257606087357719,1.029168786205039,1.196864118531597,1.134831291919448,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2012,2,1.175809546675415,.9415757620809151,1.194389814583918,1.329535746071784,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2013,2,1.378475150528502,1.08503089221475,1.211747373647899,1.296438104738463,2176633.5,2920339.5,2258537.5,4272800,Tier 2
2014,2,1.386750924850142,1.206643542736725,1.228596509354181,1.281445944497403,2176633.5,2920339.5,2258537.5,4272800,Tier 2
