period,est_pr,sal_pr,acc_pr,tottest,totsal,totcre,periodo
2001h2,3.1293923676708,5.189369061692719,.1325298292822442,29113,22839,124123,2001.5
2002h1,3.044290516451054,5.01612109278858,.1364488367249592,49085,40630,148847,2002
2002h2,3.07360205831904,4.988670394337292,.1414813394683027,58300,47751,156480,2002.5
2003h1,3.050930755791299,5.013090164810826,.1443000375559071,79559,65469,175738,2003
2003h2,3.056806333711431,5.024837224966323,.148604787321726,87279,71264,175923,2003.5
2004h1,3.001762352787595,4.838895701454943,.1497320823449678,107243,90519,188864,2004
2004h2,3.016311253641291,4.792802886246132,.1505660715320546,115687,97289,189817,2004.5
2005h1,2.99637109615114,4.78622885914705,.1508052122286132,135027,116185,199761,2005
2005h2,3.016965206592435,4.763822877383572,.1545602999879037,142527,122243,198408,2005.5
2006h1,2.984453537420121,4.735056507789693,.1569072952368982,158364,138388,206861,2006
2006h2,2.98480192929194,4.680887084310943,.1608590383032299,163376,142354,206510,2006.5
2007h1,2.941983668143882,4.624120277446074,.1645881637375553,177812,157436,218667,2007
2007h2,2.940698148781106,4.554502103436653,.1668603829657282,181394,160214,219393,2007.5
2008h1,2.921916385787028,4.512737423736618,.1699208443271768,180089,173740,231190,2008
2008h2,2.93011231241106,4.453499355946758,.1728055317277505,176383,174675,229657,2008.5
2009h1,2.959405509674438,4.425757034825224,.1770941982427009,186109,184866,239686,2009
2009h2,2.985656718907199,4.403250328507976,.1756638666705691,185871,184166,239167,2009.5
2010h1,3.026043524794863,4.403735416612774,.1767068757539204,196210,193285,248700,2010
2010h2,3.070498178899932,4.414261816236739,.1766337037414619,194388,190691,245225,2010.5
2011h1,3.098180518458054,4.389824139857512,.1766646832909612,207037,202263,258818,2011
2011h2,3.130861504907307,4.369147736908788,.180890208641431,206325,200478,256277,2011.5
2012h1,3.152292942233083,4.3473407190458,.1821212775944152,219347,212031,268442,2012
